real_ddG,predicted_ddG,index,set,Inner_Fold,Outer_Fold
9.234157,10.447025,398,Training,2,1
11.591216,11.323764,373,Training,2,1
-8.010414,-6.8291326,89,Training,2,1
-10.780248,-10.949941,26,Training,2,1
12.074589,9.658078,320,Training,2,1
8.208399,6.8045216,271,Training,2,1
9.809491,8.527235,645,Training,2,1
9.234157,6.9747095,392,Training,2,1
-6.7501397,-1.706979,453,Training,2,1
6.7501397,6.6195135,638,Training,2,1
11.013371,10.994111,481,Training,2,1
10.373469,9.078619,551,Training,2,1
8.208399,8.948457,449,Training,2,1
11.391156,8.942232,304,Training,2,1
-12.728371,-10.886834,27,Training,2,1
-6.227926,-6.1660223,441,Training,2,1
7.049818,7.5245175,101,Training,2,1
-8.538893,-8.042218,619,Training,2,1
2.6046152,4.1675944,412,Training,2,1
8.617138,9.401901,576,Training,2,1
6.562173,4.0368614,114,Training,2,1
12.901878,10.772693,478,Training,2,1
9.809491,7.6726403,408,Training,2,1
12.074589,10.146943,387,Training,2,1
-9.234157,-8.305132,298,Training,2,1
-11.243289,-4.9196787,599,Training,2,1
11.200126,8.639567,499,Training,2,1
3.0970547,3.783211,435,Training,2,1
7.2991705,6.803416,241,Training,2,1
7.573369,7.3500304,578,Training,2,1
-4.5566273,-7.89271,167,Training,2,1
-8.208399,-8.077093,618,Training,2,1
1.0335548,0.16752142,288,Training,2,1
-11.157184,-10.498874,24,Training,2,1
6.399971,8.375779,402,Training,2,1
11.391156,9.670293,555,Training,2,1
-8.208399,-8.069551,106,Training,2,1
-6.7501397,-5.4443893,458,Training,2,1
10.78479,8.7759495,309,Training,2,1
-7.0493245,-7.568442,66,Training,2,1
12.728371,12.91444,425,Training,2,1
8.056087,7.5907235,353,Training,2,1
-11.591216,-10.765777,164,Training,2,1
-12.074589,-10.505451,44,Training,2,1
-8.575752,-6.831864,237,Training,2,1
6.7501397,4.2200127,115,Training,2,1
6.8209686,6.065128,434,Training,2,1
9.647698,5.662763,254,Training,2,1
11.025974,11.275616,364,Training,2,1
-9.081853,-9.828759,201,Training,2,1
3.3229718,3.7248323,382,Training,2,1
9.809491,10.460285,642,Training,2,1
5.8907046,6.2200675,228,Training,2,1
6.825751,6.345257,563,Training,2,1
-9.234157,-6.4665685,131,Training,2,1
14.222214,14.149011,514,Training,2,1
9.647698,8.862863,238,Training,2,1
-10.757191,-11.733325,327,Training,2,1
4.398601,5.9287124,243,Training,2,1
-7.828552,-9.387393,323,Training,2,1
-7.6409483,-7.2108374,610,Training,2,1
-7.573369,-7.068753,464,Training,2,1
9.8433695,10.074509,518,Training,2,1
-9.081853,-7.5365252,388,Training,2,1
-4.398601,-6.41764,586,Training,2,1
-6.825751,-4.4407897,220,Training,2,1
3.7247381,4.6042066,290,Training,2,1
11.391156,10.132006,259,Training,2,1
-9.738947,-10.326752,336,Training,2,1
9.738947,10.640856,678,Training,2,1
8.617138,7.0703073,424,Training,2,1
6.9499965,7.150764,523,Training,2,1
7.2991705,7.178756,419,Training,2,1
-6.7501397,-7.1792235,295,Training,2,1
-6.516863,-5.1832623,85,Training,2,1
